date_key,year,month,day,day_of_week,is_weekend,is_holiday,holiday_name
7b204d79-97d8-4eeb-8815-a64082e5f4f1,2016,6,15,Wednesday,False,False,
8ae8bcc1-3af4-46cc-9d4e-c0bce6496a22,2017,10,11,Wednesday,False,False,
6a0a1ef3-1ed6-4ef5-abad-2e4466ae33f1,2016,3,4,Friday,False,False,
9fcc7225-793e-4dc8-9717-737149233431,2018,1,30,Tuesday,False,False,
25df993f-fe14-409a-bdb2-eb2f353a9f45,2017,6,22,Thursday,False,False,
d20a9d8e-e63e-478d-ba2e-7c4b03dbb864,2018,1,31,Wednesday,False,False,
f947a2b6-2756-4e3a-9282-1333a39679c3,2017,6,1,Thursday,False,False,
8dcb7fef-c242-4485-8908-34e86aa5930f,2018,1,28,Sunday,True,False,
210dc4e0-788a-44d3-acad-008db98b9498,2016,5,31,Tuesday,False,False,
61723614-1c05-4ba4-807f-f95e81429667,2017,2,24,Friday,False,False,
8958d8b2-f861-444e-94fd-28f198537d88,2016,4,16,Saturday,True,False,
82731b8e-689e-4e43-a2c7-a6df0e11d53e,2017,5,28,Sunday,True,False,
74be2cbb-f0b6-417b-89ec-af687cbe9a81,2017,6,16,Friday,False,False,
21287ff0-b99a-4dd1-81c7-3c2dcdc6b2d9,2018,1,29,Monday,False,False,
5e7342d5-5fa2-4d8f-8910-1dd437bb38cd,2018,1,4,Thursday,False,False,
50165e13-6470-45ca-9e4f-d1caee429890,2017,10,30,Monday,False,False,
d74cc91c-13c0-47a7-95b1-cd10b3ccb40b,2017,5,6,Saturday,True,False,
f7bc57fe-60c7-4a4f-8e2f-07841d2905fe,2016,6,12,Sunday,True,False,
69fcb8d4-4731-4c80-a6ab-af3bf642e2e0,2016,5,18,Wednesday,False,False,
cbd6c9f3-8f94-4b29-99bf-37339158c2d5,2018,1,18,Thursday,False,False,
4e9cd4be-71b0-4799-b920-20c368a5b815,2017,8,1,Tuesday,False,False,
2b245753-0f4f-40f7-a827-57cc8aaebf6f,2016,4,24,Sunday,True,False,
f19796c9-065d-4eef-8161-f089b9d3a5d2,2016,4,13,Wednesday,False,False,
5074b89c-e3d2-4b36-b7b4-6dc23e4dab11,2016,5,27,Friday,False,False,
d6df6dde-3bf9-46f4-83f0-181f55ee019e,2017,11,25,Saturday,True,False,
37ad8e48-c791-4b3a-8d41-0c4e54fc70ff,2017,1,30,Monday,False,False,
2b1790bf-4ae9-48cd-b5f6-0dad61107f17,2016,2,28,Sunday,True,False,
9208de8a-e798-481d-ad1a-070e8845bc5f,2018,1,17,Wednesday,False,False,
58aef46b-f042-4b74-a2ee-2d8693d1c2e1,2018,1,12,Friday,False,False,
a7fae253-6ae2-4adc-b765-5420405984ff,2017,1,21,Saturday,True,False,
be15e83e-fdaa-4c83-8657-402b83560230,2017,10,7,Saturday,True,False,
2917053e-7baf-4450-9ba9-c67ab6e4fc59,2017,5,25,Thursday,False,False,
bdd05b56-14f4-417d-b3c2-a11c6deae6ef,2017,10,13,Friday,False,False,
c8c56d32-db7f-470f-9a35-cb4d1a9d378c,2017,4,23,Sunday,True,False,
15c85d98-2dab-4423-a117-eb50dc50daee,2017,4,3,Monday,False,False,
16a93511-8dc3-4255-9ecc-32483a8ef8a4,2018,1,25,Thursday,False,False,
6016c909-e7a7-4b6c-8164-59e16e7b24b1,2016,6,27,Monday,False,False,
bfce1e78-43aa-4ace-b028-b4946a54ddaf,2018,1,26,Friday,False,False,
6b0a20e0-1172-4792-8d80-33d84255a7b6,2017,8,24,Thursday,False,False,
0b91dbe6-9f8e-4b0d-8ac6-8be9d2103a6d,2018,1,27,Saturday,True,False,
d5478362-e92a-4e63-ab5d-60640a36537b,2016,5,20,Friday,False,False,
983ef707-b285-40ec-a05e-cc051a770905,2017,9,28,Thursday,False,False,
6e206716-bf1a-4462-bdcc-1ea18303a19a,2018,1,23,Tuesday,False,False,
6a6a6992-60eb-4e57-914c-344827bb3771,2016,5,1,Sunday,True,False,
1eae6cb2-2aae-41ee-860a-acbbca111b65,2016,6,3,Friday,False,False,
fe20ae91-cc79-41db-b6d2-b98c4f342b6e,2016,5,15,Sunday,True,False,
3aeb3f1e-4ebe-40cd-85b5-9d8a5b984259,2018,1,1,Monday,False,True,New Year's Day
3b0969d7-55fc-42d2-a532-03f193d3f02f,2017,9,20,Wednesday,False,False,
ab470e7e-ecb4-4427-b351-cecc80c1df7b,2017,2,23,Thursday,False,False,
cc4114a2-7e44-4dc6-87da-96e12b37f5cc,2016,4,30,Saturday,True,False,
4d2792d0-f100-463b-8d16-80130bc4a925,2016,5,5,Thursday,False,False,
4bcd4aae-e90b-42bf-a302-42b9e0599411,2016,4,23,Saturday,True,False,
9b44da59-ac03-4eaf-a6db-b78aec09ca77,2016,4,19,Tuesday,False,False,
0ea0412e-b450-4ab0-8e2f-249161e82726,2017,2,21,Tuesday,False,False,
39cf8a65-7b6f-4634-a2f8-8b1062f4b47d,2017,8,23,Wednesday,False,False,
7c776728-6dad-4aa3-ab60-67a1873a7298,2018,1,16,Tuesday,False,False,
8cdc813a-4913-47d2-9f1b-0b47b081cd5a,2017,12,21,Thursday,False,False,
d55798c9-82e0-411e-9a6a-dea791a66055,2016,5,21,Saturday,True,False,
a87c4fa2-85ae-4124-907c-377771c5e422,2017,3,14,Tuesday,False,False,
9ef70c97-819d-4afb-a281-279193f78382,2016,4,12,Tuesday,False,False,
ac1b350a-780c-4467-80bb-847fc10b3fdc,2017,8,19,Saturday,True,False,
79da285b-4be1-4134-b717-b0bbb9addb69,2017,10,10,Tuesday,False,False,
d3d3dad2-43af-4f21-87b8-ca2b022e0a45,2017,1,24,Tuesday,False,False,
b702b493-59e8-4b0d-9fcc-d3fc79e0f21d,2017,6,29,Thursday,False,False,
f9283884-7894-4c56-9fef-3eb2ddeb5916,2016,7,10,Sunday,True,False,
86d6f113-1294-470d-8254-95f7fd0c2424,2018,2,1,Thursday,False,False,
6065c4ad-8c71-4420-b8d0-e09319804c16,2018,1,10,Wednesday,False,False,
cd766810-b979-4532-99d0-001ac220614c,2016,7,2,Saturday,True,False,
567154f5-1e33-461a-a531-6a5842df92a0,2017,5,14,Sunday,True,False,
127feae7-895b-4844-89e9-187d6d353627,2017,7,5,Wednesday,False,False,
f13d6fed-771f-4c69-a0b6-a5909bf6d57e,2017,4,10,Monday,False,False,
a1aba1a1-909f-435c-8061-7095daad004c,2016,7,14,Thursday,False,False,
0d520e73-4323-4111-8ab9-c3d1a5cfaf47,2017,6,24,Saturday,True,False,
625383f1-ba5e-4076-8871-a0ff55258a45,2017,2,1,Wednesday,False,False,
5ef05fe4-1cef-478f-943a-e0d3f445d678,2016,8,6,Saturday,True,False,
6d0a67ed-ab32-4730-a858-8329e27821ef,2016,8,14,Sunday,True,False,
506650e1-da6a-435e-b987-5836337252a7,2017,7,1,Saturday,True,False,
de6b21b1-5bba-4dfd-a059-12f57b5c09db,2017,6,19,Monday,False,False,
307cc7ee-8f5c-4dfc-aa7b-4b8fba644967,2017,11,7,Tuesday,False,False,
79d08599-2853-459a-8d03-dd6fb864542c,2018,1,6,Saturday,True,False,
3d74a311-ef4e-4ee1-9e09-09cbfe0f6835,2017,11,8,Wednesday,False,False,
6eee3766-e469-47a3-9dd2-a96df63bab3c,2017,6,27,Tuesday,False,False,
f6985125-5128-4069-8add-5479461c213e,2016,7,21,Thursday,False,False,
365d2ec5-e075-46ea-9718-69c5478524d2,2016,8,9,Tuesday,False,False,
8915f28c-82e3-4a1c-9c0f-f09a6682c0d3,2017,5,12,Friday,False,False,
e5c52088-ac19-4181-8858-67ac79f5d397,2016,8,19,Friday,False,False,
1f1edda7-a1e4-497f-8ca4-d569af850c36,2016,7,26,Tuesday,False,False,
34cc486f-3d3b-4af2-852e-c50530ed5d7d,2018,1,22,Monday,False,False,
7ffd2893-4685-4859-aeba-f338ff14421c,2017,6,20,Tuesday,False,False,
01930670-1b48-462a-a46c-d8354680f89b,2016,8,23,Tuesday,False,False,
687bca1f-2426-4f59-b244-c2cb2aee9beb,2017,1,28,Saturday,True,False,
d58d1274-0f6d-4cb6-865c-492d28b50904,2017,6,26,Monday,False,False,
34412221-76f7-4a40-9533-fc1c06c9a934,2017,1,29,Sunday,True,False,
32f25a93-a34a-482d-a604-2a53dbd144fb,2016,8,13,Saturday,True,False,
379e3e89-ac24-4ec0-babb-95b2439113e2,2018,1,24,Wednesday,False,False,
48c857c1-ede9-4f39-916e-88410b8d7a42,2016,7,27,Wednesday,False,False,
5163dffb-3e8c-4cf4-8fee-5c72521c817f,2017,12,1,Friday,False,False,
1fcae498-fd72-4a0d-ba2d-f30d1ee8bf66,2016,8,20,Saturday,True,False,
1cac097e-daf4-4b82-af93-e9c0fc58dd0e,2016,8,8,Monday,False,False,
a301c8f8-b0f9-4e78-922d-98ce75d836e9,2018,1,20,Saturday,True,False,
51e5ad17-67c6-488c-a965-39cc18efe24e,2017,12,7,Thursday,False,False,
f9ccf53c-905a-4027-9fea-9edaab5ac388,2018,1,8,Monday,False,False,
9c9d966f-037a-4d30-b247-4adafda24d24,2017,6,30,Friday,False,False,
7b365e80-b8b9-468c-9737-0a38f96a0e03,2016,8,27,Saturday,True,False,
e199df41-936d-4fb9-ac63-77878b97ae06,2017,7,30,Sunday,True,False,
ad555761-d64f-4012-8774-2dd9198aed8c,2018,1,21,Sunday,True,False,
29f853eb-0445-476b-a80e-ba3202c781bd,2017,6,23,Friday,False,False,
7180f463-ef50-4ae1-bf12-4eef1aa242a6,2016,8,3,Wednesday,False,False,
13a410ec-b770-4782-8893-21528c24ffc7,2017,6,11,Sunday,True,False,
5de4cccf-c376-44c7-8de2-a6729b565e0b,2017,4,9,Sunday,True,False,
90c7bd64-8ad0-4361-88b3-064a2a0291d8,2016,5,24,Tuesday,False,False,
a17c371e-6967-4153-89f0-d5379b886548,2017,4,7,Friday,False,False,
dc7ceca8-4d6f-4cf6-b0ed-ad19fc3073c8,2016,5,22,Sunday,True,False,
bdeee21f-e720-44fb-a4d1-9532f1144dac,2017,12,20,Wednesday,False,False,
cffe94d9-67c0-410b-99df-de77969f668e,2017,7,3,Monday,False,False,
