event_key,event_name,event_year,event_month,event_day,event_hour,event_minute,event_type,event_genre,event_venue_name,event_address,event_postal_code,event_latitude,event_longitude
cf321c01-2592-4759-a11b-e8f11da499eb,Baltimore Ravens at Denver Broncos,2015,9,13,14,25,Sports,Football,Empower Field at Mile High,1701 Bryant Street,80204,39.743889,-105.02
ecbc0767-3486-4c04-b25f-f417864149ea,Minnesota Vikings at Denver Broncos,2015,10,4,14,25,Sports,Football,Empower Field at Mile High,1702 Bryant Street,80204,39.743889,-105.02
1ccd8a65-33a6-4514-a088-64b7d0b34718,Green Bay Packers at Denver Broncos,2015,11,1,18,30,Sports,Football,Empower Field at Mile High,1703 Bryant Street,80204,39.743889,-105.02
e46f3ef4-481a-4855-9aae-1ee818462165,Kansas City Chiefs at Denver Broncos,2015,11,15,14,25,Sports,Football,Empower Field at Mile High,1704 Bryant Street,80204,39.743889,-105.02
555425d9-7b0c-4297-9f3e-0ec9e0817c3c,New England Patriots at Denver Broncos,2015,11,29,18,30,Sports,Football,Empower Field at Mile High,1705 Bryant Street,80204,39.743889,-105.02
1f73e242-eabd-4877-a61a-95fca03c546b,Oakland Raiders at Denver Broncos,2015,12,13,14,5,Sports,Football,Empower Field at Mile High,1706 Bryant Street,80204,39.743889,-105.02
e13e89f3-2cdf-44fc-9ec0-7094fa950da9,Cincinnati Bengals at Denver Broncos,2015,12,28,18,30,Sports,Football,Empower Field at Mile High,1707 Bryant Street,80204,39.743889,-105.02
11b01e22-640f-4171-bce7-4d735a09da68,Los Angeles Chargers at Denver Broncos,2016,1,17,18,30,Sports,Football,Empower Field at Mile High,1708 Bryant Street,80204,39.743889,-105.02
8555599b-60b2-4e49-bd20-6425abb5bcfe,New England Patriots at Denver Broncos,2016,1,24,18,30,Sports,Football,Empower Field at Mile High,1709 Bryant Street,80204,39.743889,-105.02
5641ceb8-7377-41d9-aca9-e6451c2eef53,Carolina Panthers at Denver Broncos,2016,9,8,18,30,Sports,Football,Empower Field at Mile High,1710 Bryant Street,80204,39.743889,-105.02
ee5b89bd-5f2a-4434-a6e2-c075b0ee76d5,Indiana Colts at Denver Broncos,2016,9,18,14,25,Sports,Football,Empower Field at Mile High,1711 Bryant Street,80204,39.743889,-105.02
927d41f9-d263-4d19-a0d3-45a718d73b4f,Atlanta Falcons at Denver Broncos,2016,10,9,14,5,Sports,Football,Empower Field at Mile High,1712 Bryant Street,80204,39.743889,-105.02
f5a1fd6c-6eb1-4aab-ad56-1d1595a37c7f,Los Angeles Chargers at Denver Broncos,2016,10,30,14,5,Sports,Football,Empower Field at Mile High,1713 Bryant Street,80204,39.743889,-105.02
97ea26ad-0216-427a-a8e0-62f15d49710b,Kansas City Chiefs at Denver Broncos,2016,11,27,14,25,Sports,Football,Empower Field at Mile High,1714 Bryant Street,80204,39.743889,-105.02
7204af34-f57d-4feb-8615-1ac5ee7bc9f7,New England Patriots at Denver Broncos,2016,12,18,14,25,Sports,Football,Empower Field at Mile High,1715 Bryant Street,80204,39.743889,-105.02
f5c70e97-b77d-4374-84b6-326c30e8c687,Oakland Raiders at Denver Broncos,2017,1,2,14,25,Sports,Football,Empower Field at Mile High,1716 Bryant Street,80204,39.743889,-105.02
64c81a67-3ad8-4296-b0a6-9c93d70443fd,Los Angeles Chargers at Denver Broncos,2017,9,11,20,20,Sports,Football,Empower Field at Mile High,1717 Bryant Street,80204,39.743889,-105.02
f3948ce3-6cb6-41be-8454-6972f4a23737,Dallas Cowboys at Denver Broncos,2017,9,17,14,25,Sports,Football,Empower Field at Mile High,1718 Bryant Street,80204,39.743889,-105.02
10e4ca3d-ea34-476a-af33-e1e976602a9d,Oakland Raiders at Denver Broncos,2017,10,1,14,25,Sports,Football,Empower Field at Mile High,1719 Bryant Street,80204,39.743889,-105.02
fbdef67e-3a33-40a6-a86d-b0e32fe2cbc7,New York Giants at Denver Broncos,2017,10,15,18,30,Sports,Football,Empower Field at Mile High,1720 Bryant Street,80204,39.743889,-105.02
ad68277c-464a-41ce-8195-f3b2e5377bac,New England Patriots at Denver Broncos,2017,11,12,18,30,Sports,Football,Empower Field at Mile High,1721 Bryant Street,80204,39.743889,-105.02
95222486-f2fb-4908-aa9e-36996b2c36b6,Cincinnati Bengals at Denver Broncos,2017,11,19,14,25,Sports,Football,Empower Field at Mile High,1722 Bryant Street,80204,39.743889,-105.02
95ae5df4-38ba-45b1-aee6-a962c4202794,New York Jets at Denver Broncos,2017,12,10,14,5,Sports,Football,Empower Field at Mile High,1723 Bryant Street,80204,39.743889,-105.02
0b3d2d25-91cb-4592-9ff9-9ce3549df3f8,Kansas City Chiefs at Denver Broncos,2017,12,31,14,25,Sports,Football,Empower Field at Mile High,1724 Bryant Street,80204,39.743889,-105.02
df556362-ab4b-4c3c-8f80-ecdac5f0f996,Seattle Seahawks at Denver Broncos,2018,9,9,14,5,Sports,Football,Empower Field at Mile High,1725 Bryant Street,80204,39.743889,-105.02
d112eb00-cf6b-419e-913f-b39177322767,Oakland Raiders at Denver Broncos,2018,9,16,14,5,Sports,Football,Empower Field at Mile High,1726 Bryant Street,80204,39.743889,-105.02
63ad8cac-3cf7-4b92-b7ef-dec58e44a3b1,Kansas City Chiefs at Denver Broncos,2018,10,1,18,15,Sports,Football,Empower Field at Mile High,1727 Bryant Street,80204,39.743889,-105.02
441b13b9-a01a-428e-ba15-392c02cf9b30,Los Angeles Rams at Denver Broncos,2018,10,14,14,5,Sports,Football,Empower Field at Mile High,1728 Bryant Street,80204,39.743889,-105.02
89d7ba16-946c-476e-a813-960a26b719f8,Houston Texans at Denver Broncos,2018,11,4,14,5,Sports,Football,Empower Field at Mile High,1729 Bryant Street,80204,39.743889,-105.02
8cbdd49a-4a3b-499f-911e-972c46c8d6c9,Pittsburgh Steelers at Denver Broncos,2018,11,25,14,25,Sports,Football,Empower Field at Mile High,1730 Bryant Street,80204,39.743889,-105.02
35b20701-7ef6-4163-80a6-7426e0364fa8,Cleveland Browns at Denver Broncos,2018,12,15,18,20,Sports,Football,Empower Field at Mile High,1731 Bryant Street,80204,39.743889,-105.02
a5e0ff64-1109-4568-8ac3-024a0b18b75f,Los Angeles Chargers at Denver Broncos,2018,12,30,14,5,Sports,Football,Empower Field at Mile High,1732 Bryant Street,80204,39.743889,-105.02
ac3e3669-fa95-48a1-90bb-36922ccf6769,Chicago Bears at Denver Broncos,2019,9,15,14,25,Sports,Football,Empower Field at Mile High,1733 Bryant Street,80204,39.743889,-105.02
f28a330c-223f-4ba1-b881-4d464dc2a13c,Jacksonville Jaguars at Denver Broncos,2019,9,29,14,25,Sports,Football,Empower Field at Mile High,1734 Bryant Street,80204,39.743889,-105.02
5c29aee1-4466-40bb-a729-ac167dab1cec,Tennessee Titans at Denver Broncos,2019,10,13,14,5,Sports,Football,Empower Field at Mile High,1735 Bryant Street,80204,39.743889,-105.02
98ae67ac-d3f6-479e-b238-fb5a8f0c68e0,Kansas City Chiefs at Denver Broncos,2019,10,17,18,20,Sports,Football,Empower Field at Mile High,1736 Bryant Street,80204,39.743889,-105.02
8d7fd6de-90cb-423d-9074-7843e89c815d,Cleveland Browns at Denver Broncos,2019,11,3,14,25,Sports,Football,Empower Field at Mile High,1737 Bryant Street,80204,39.743889,-105.02
df352fe7-cddb-4a07-b5a1-f102e90a8a85,Los Angeles Chargers at Denver Broncos,2019,12,1,14,25,Sports,Football,Empower Field at Mile High,1738 Bryant Street,80204,39.743889,-105.02
e1ae0e91-9485-4e34-ae36-612f11742100,Detroit Lions at Denver Broncos,2019,12,22,14,5,Sports,Football,Empower Field at Mile High,1739 Bryant Street,80204,39.743889,-105.02
9415bd3f-52bd-40c8-8d99-bc12fff1398d,Oakland Raiders at Denver Broncos,2019,12,29,14,25,Sports,Football,Empower Field at Mile High,1740 Bryant Street,80204,39.743889,-105.02
