date_key,year,month,day,day_of_week,is_weekend,is_american_holiday,american_holiday_name,is_canadian_holiday,canadian_holiday_name
2b5d7d9a-514d-433b-85a2-03be036e6763,2016,6,15,Wednesday,False,False,,False,
e2737179-2948-4a03-9ecc-d4194e9c1906,2017,10,11,Wednesday,False,False,,False,
8d61d2f7-a801-41ce-a5c6-28723900fbd2,2016,3,4,Friday,False,False,,False,
9431933a-a62b-42d4-a2ee-ed85e99c0489,2018,1,30,Tuesday,False,False,,False,
fea4bd5c-e861-4228-9872-dcb857a1712e,2017,6,22,Thursday,False,False,,False,
500086a9-20ad-4c71-b957-d617d849cf90,2018,1,31,Wednesday,False,False,,False,
cf02188b-00c3-4b66-87f3-02b8415f3f4a,2017,6,1,Thursday,False,False,,False,
0ba5ea0b-a85a-4f90-9ad2-5934e83c9fe2,2018,1,28,Sunday,True,False,,False,
8cbcd0cf-0c97-4270-8adb-5b5062525faf,2016,5,31,Tuesday,False,False,,False,
b8c4fc7c-8766-4cec-ba0c-5b0d920f3b98,2017,2,24,Friday,False,False,,False,
ef73c191-bd05-44a8-918f-3e794870376f,2016,4,16,Saturday,True,False,,False,
e26a3ccd-fe9d-4e5f-a246-a36452b6bccf,2017,5,28,Sunday,True,False,,False,
265420af-90fc-4f7b-8ea8-41642952e647,2017,6,16,Friday,False,False,,False,
cbcbb9fb-e47f-4729-8b69-3dacda672a9c,2018,1,29,Monday,False,False,,False,
c44520d7-e050-431d-a7cf-28a2bef02fcb,2018,1,4,Thursday,False,False,,False,
4d608cef-6242-46ce-a742-0861dd686208,2017,10,30,Monday,False,False,,False,
4320717a-855b-4b02-98b7-e8af0c8986e6,2017,5,6,Saturday,True,False,,False,
351d4379-45b2-4b64-a217-efaf63b2dc41,2016,6,12,Sunday,True,False,,False,
7a6d946d-1c11-40ab-9242-3b1f1eb4d299,2016,5,18,Wednesday,False,False,,False,
8e3d38ab-9fbc-45ea-9ad2-1effe56a3f27,2018,1,18,Thursday,False,False,,False,
a8203764-4511-426e-b767-6d8093c01693,2017,8,1,Tuesday,False,False,,False,
