date_key,year,month,day,day_of_week,is_weekend,is_holiday,holiday_name
fa5be413-c1a6-4c47-8f97-830ebfea3916,2019,3,7,Thursday,False,False,
ada61889-49ce-43d5-a846-1b7fbdf56f33,2019,8,27,Tuesday,False,False,
ffd7c0b2-3816-4b5e-8f6f-a1bea53e55f0,2017,11,14,Tuesday,False,False,
f1f6c96a-6a7e-4ed3-be02-a622eca95f94,2018,3,2,Friday,False,False,
f4137868-f90f-4200-9442-32f49ed24eb3,2015,2,4,Wednesday,False,False,
173b3a67-4d4e-44d2-a65a-63a58c4c1aac,2016,2,16,Tuesday,False,False,
0418d5c4-d681-41fe-ba2a-812c255722d9,2015,3,24,Tuesday,False,False,
4afc9110-a7f8-475d-9503-3bb4c2678ddb,2015,7,3,Friday,False,False,
01a75aaf-a543-4c99-8112-b707f287e107,2018,6,16,Saturday,True,False,
d0a4f428-a017-4bb6-9b2c-03f1096b5577,2016,9,17,Saturday,True,False,
7ff16844-7909-4346-a2ac-a4df2d0df993,2017,8,24,Thursday,False,False,
deebc5db-d54d-4c4c-a06a-9b42ec27e3bf,2015,2,13,Friday,False,False,
4bfa80df-229c-4df9-ad8b-8373ca7a113a,2016,6,12,Sunday,True,False,
0ecf45a9-45f9-4ca8-89b7-68a5dbbdc09b,2016,7,6,Wednesday,False,False,
6495f740-153a-4e69-b1f9-910a224d4a9b,2016,7,13,Wednesday,False,False,
5ae3ae60-b489-4b09-820f-308aab32f3dd,2016,8,10,Wednesday,False,False,
f59fa7c7-d352-4f40-a605-00bb6359e834,2016,9,4,Sunday,True,False,
87ceea87-fd77-4556-93bc-5346986567bf,2017,5,9,Tuesday,False,False,
07330a45-1eb3-44bd-affc-48d61de39970,2020,1,1,Wednesday,False,True,New Year's Day
fa578db7-dd86-400a-bfd7-8cd1c738a159,2017,4,29,Saturday,True,False,
7f0e4083-f81c-4b50-bc92-7d39ca507c68,2017,9,3,Sunday,True,False,
cd31fadd-e6c2-4055-b9c3-ada44111cefa,2015,5,23,Saturday,True,False,
ebc9b2b9-b668-4943-936d-b27fe74e8d32,2015,6,25,Thursday,False,False,
b2e187c0-79bb-437f-a0db-d4537c93c021,2015,9,1,Tuesday,False,False,
a7a5c472-4be0-4c58-8de2-6a4733df29ad,2015,12,5,Saturday,True,False,
5f5b4ab2-6790-4fe0-88e1-37067017a8d9,2018,12,12,Wednesday,False,False,
eaf38299-3e49-413b-8336-3a42816bdb48,2017,5,31,Wednesday,False,False,
1f5b7d59-05a1-4f51-bff1-8eaef69d68a8,2016,9,22,Thursday,False,False,
e172d769-d632-48fe-9d25-49b8892011dd,2019,6,9,Sunday,True,False,
b695244a-f4fe-4657-b259-5dd20d97f0b7,2017,12,12,Tuesday,False,False,
