event_key,event_name,event_year,event_month,event_day,event_hour,event_minute,event_type,event_genre,event_venue_name,event_address,event_postal_code,event_latitude,event_longitude
1a4fb018-d52f-4884-b19d-d443fffb922f,Toronto FC at Vancouver Whitecaps,2015,3,7,15,0,Sports,Soccer,BC Place,777 Pacific Boulevard,V6B 4Y8,49.276666999999996,-123.111944
88f3c50b-6217-45dd-9f89-35c8b0ab08b8,Portland Timbers at Vancouver Whitecaps,2015,3,28,17,0,Sports,Soccer,BC Place,778 Pacific Boulevard,V6B 4Y9,49.276666999999996,-123.111944
34eeb055-b386-4351-a4af-18b8d724419c,Los Angeles Galaxy at Vancouver Whitecaps,2015,4,4,19,0,Sports,Soccer,BC Place,779 Pacific Boulevard,V6B 4Y10,49.276666999999996,-123.111944
0bd483c4-42fd-45b8-8f1f-091cf32fc2c5,Columbus Crew SC at Vancouver Whitecaps,2015,4,8,19,0,Sports,Soccer,BC Place,780 Pacific Boulevard,V6B 4Y11,49.276666999999996,-123.111944
06a8435e-aa2b-4ee0-b589-4261c3396987,D.C. United at Vancouver Whitecaps,2015,4,25,19,30,Sports,Soccer,BC Place,781 Pacific Boulevard,V6B 4Y12,49.276666999999996,-123.111944
2fe98d13-4fc0-4f40-9576-519cd97492db,Philadelphia Union at Vancouver Whitecaps,2015,5,9,16,0,Sports,Soccer,BC Place,782 Pacific Boulevard,V6B 4Y13,49.276666999999996,-123.111944
deded325-ba58-4f5c-8bc4-13096687f34d,Seattle Sounder FC at Vancouver Whitecaps,2015,5,16,16,0,Sports,Soccer,BC Place,783 Pacific Boulevard,V6B 4Y14,49.276666999999996,-123.111944
a65cdea5-081d-4f6d-8a66-a002526ed15f,Real Salt Lake at Vancouver Whitecaps,2015,5,30,15,0,Sports,Soccer,BC Place,784 Pacific Boulevard,V6B 4Y15,49.276666999999996,-123.111944
4783f1d9-1e88-4873-b193-4b500895a786,Sporting Kansas City at Vancouver Whitecaps,2015,7,12,18,0,Sports,Soccer,BC Place,785 Pacific Boulevard,V6B 4Y16,49.276666999999996,-123.111944
fb49d2a7-594d-433a-a64a-51971c6abcd9,San Jose Earthquakes at Vancouver Whitecaps,2015,7,26,16,0,Sports,Soccer,BC Place,786 Pacific Boulevard,V6B 4Y17,49.276666999999996,-123.111944
2acd4b8d-03b5-4c40-b909-d988280cbc31,Seattle Sounder FC at Vancouver Whitecaps,2015,8,5,19,0,Sports,Soccer,BC Place,787 Pacific Boulevard,V6B 4Y18,49.276666999999996,-123.111944
21c436ad-5dfc-4007-a99d-42d9783020db,Real Salt Lake at Vancouver Whitecaps,2015,8,8,19,0,Sports,Soccer,BC Place,788 Pacific Boulevard,V6B 4Y19,49.276666999999996,-123.111944
35c2769c-71ee-4bb7-9124-92bc86812a6b,FC Dallas at Vancouver Whitecaps,2015,8,22,19,0,Sports,Soccer,BC Place,789 Pacific Boulevard,V6B 4Y20,49.276666999999996,-123.111944
d066edea-9889-4d00-b294-8ea6c9201e2b,Montreal Impact at Vancouver Whitecaps,2015,8,26,19,0,Sports,Soccer,BC Place,790 Pacific Boulevard,V6B 4Y21,49.276666999999996,-123.111944
4c0c2e98-90b6-41dd-92e8-54c8909b93cd,Colorado Rapids at Vancouver Whitecaps,2015,9,9,19,0,Sports,Soccer,BC Place,791 Pacific Boulevard,V6B 4Y22,49.276666999999996,-123.111944
3d058e98-33f7-4698-927e-ec7a7c25bf98,CD Olimpia at Vancouver Whitecaps,2015,9,16,19,0,Sports,Soccer,BC Place,792 Pacific Boulevard,V6B 4Y23,49.276666999999996,-123.111944
1e0a7600-b966-4731-919e-126e9d839d0d,Seattle Sounder FC at Vancouver Whitecaps,2015,9,19,16,0,Sports,Soccer,BC Place,793 Pacific Boulevard,V6B 4Y24,49.276666999999996,-123.111944
5e6c2d4d-90c3-4f6f-ad70-638eb3b4f561,New York City FC at Vancouver Whitecaps,2015,9,26,19,0,Sports,Soccer,BC Place,794 Pacific Boulevard,V6B 4Y25,49.276666999999996,-123.111944
4974d2ee-d71c-4b53-a060-3fb229e24d86,FC Dallas at Vancouver Whitecaps,2015,10,7,19,0,Sports,Soccer,BC Place,795 Pacific Boulevard,V6B 4Y26,49.276666999999996,-123.111944
139d99e4-c8d3-4ae7-b870-c680deb3dea1,Houston Dynamo at Vancouver Whitecaps,2015,10,25,16,0,Sports,Soccer,BC Place,796 Pacific Boulevard,V6B 4Y27,49.276666999999996,-123.111944
75dccab3-76db-4f7d-ae65-466fcc6eb5ef,Portland Timbers at Vancouver Whitecaps,2015,11,8,19,0,Sports,Soccer,BC Place,797 Pacific Boulevard,V6B 4Y28,49.276666999999996,-123.111944
c2190f5f-8f90-473c-b03d-055c19a8cec4,Montreal Impact at Vancouver Whitecaps,2016,3,6,14,30,Sports,Soccer,BC Place,798 Pacific Boulevard,V6B 4Y29,49.276666999999996,-123.111944
f0c41215-9a35-477f-8956-4dffc765eded,Houston Dynamo at Vancouver Whitecaps,2016,3,26,19,0,Sports,Soccer,BC Place,799 Pacific Boulevard,V6B 4Y30,49.276666999999996,-123.111944
075d120a-c93e-4c73-a6b1-51388a315bb8,Los Angeles Galaxy at Vancouver Whitecaps,2016,4,2,19,0,Sports,Soccer,BC Place,800 Pacific Boulevard,V6B 4Y31,49.276666999999996,-123.111944
a3f74ecf-5f50-4069-abd7-27a5d70167d7,FC Dallas at Vancouver Whitecaps,2016,4,23,19,30,Sports,Soccer,BC Place,801 Pacific Boulevard,V6B 4Y32,49.276666999999996,-123.111944
91cfb716-423d-4453-82dc-d5716bc2b95b,Sporting Kansas City at Vancouver Whitecaps,2016,4,27,19,30,Sports,Soccer,BC Place,802 Pacific Boulevard,V6B 4Y33,49.276666999999996,-123.111944
774ce9a6-c99e-4701-988b-a5b79031164f,Portland Timbers at Vancouver Whitecaps,2016,5,7,14,0,Sports,Soccer,BC Place,803 Pacific Boulevard,V6B 4Y34,49.276666999999996,-123.111944
67a66dae-0728-4a7d-9cdf-b308ef074745,Chicago Fire FC at Vancouver Whitecaps,2016,5,11,19,0,Sports,Soccer,BC Place,804 Pacific Boulevard,V6B 4Y35,49.276666999999996,-123.111944
82db408c-ed84-4859-be6b-c96ea2719bcb,Houston Dynamo at Vancouver Whitecaps,2016,5,28,15,0,Sports,Soccer,BC Place,805 Pacific Boulevard,V6B 4Y36,49.276666999999996,-123.111944
2dfe39d6-5f71-4643-8c13-0535781c60c9,Ottawa Fury FC at Vancouver Whitecaps,2016,6,8,19,0,Sports,Soccer,BC Place,806 Pacific Boulevard,V6B 4Y37,49.276666999999996,-123.111944
aa6732c0-6434-4fde-9361-d3002e1b262e,New England Revolution at Vancouver Whitecaps,2016,6,18,16,0,Sports,Soccer,BC Place,807 Pacific Boulevard,V6B 4Y38,49.276666999999996,-123.111944
f2be2ef2-de61-4b80-81e0-e2a9c39e013c,Toronto FC at Vancouver Whitecaps,2016,6,29,19,30,Sports,Soccer,BC Place,808 Pacific Boulevard,V6B 4Y39,49.276666999999996,-123.111944
8b114527-93ae-4d58-af38-1d1f66898b1d,Colorado Rapids at Vancouver Whitecaps,2016,7,9,19,0,Sports,Soccer,BC Place,809 Pacific Boulevard,V6B 4Y40,49.276666999999996,-123.111944
d3639cac-41b9-4b67-ade9-c36067024fc2,Real Salt Lake at Vancouver Whitecaps,2016,7,13,19,30,Sports,Soccer,BC Place,810 Pacific Boulevard,V6B 4Y41,49.276666999999996,-123.111944
463b2b43-5e1e-4b34-b027-0c77b5d24928,Orlando City SC at Vancouver Whitecaps,2016,7,16,19,0,Sports,Soccer,BC Place,811 Pacific Boulevard,V6B 4Y42,49.276666999999996,-123.111944
c9a832d7-f71a-417e-b6c2-27c50ee7ec6b,Crystal Palace FC,2016,7,19,19,0,Sports,Soccer,BC Place,812 Pacific Boulevard,V6B 4Y43,49.276666999999996,-123.111944
ac5149ea-1f7a-4cfa-8fe1-26b66ce1902d,San Jose Earthquakes at Vancouver Whitecaps,2016,8,12,20,0,Sports,Soccer,BC Place,813 Pacific Boulevard,V6B 4Y44,49.276666999999996,-123.111944
35991868-2336-42c8-9759-256bbe6e67c1,Sporting Kansas City at Vancouver Whitecaps,2016,8,23,19,0,Sports,Soccer,BC Place,814 Pacific Boulevard,V6B 4Y45,49.276666999999996,-123.111944
80f91d23-d2fa-4dbb-8806-88e3b43c3a73,New York Red Bulls at Vancouver Whitecaps,2016,9,3,16,0,Sports,Soccer,BC Place,815 Pacific Boulevard,V6B 4Y46,49.276666999999996,-123.111944
b8186ba2-214d-43cb-aa17-118e02952ddc,Colorado Rapids at Vancouver Whitecaps,2016,9,24,16,0,Sports,Soccer,BC Place,816 Pacific Boulevard,V6B 4Y47,49.276666999999996,-123.111944
3607c0ba-6404-4127-ad00-68a6b5a0687c,Central FC at Vancouver Whitecaps,2016,9,28,19,0,Sports,Soccer,BC Place,817 Pacific Boulevard,V6B 4Y48,49.276666999999996,-123.111944
1b5f7974-9c6e-4ab2-8ff4-cb980b0301a3,Seattle Sounder FC at Vancouver Whitecaps,2016,10,2,17,0,Sports,Soccer,BC Place,818 Pacific Boulevard,V6B 4Y49,49.276666999999996,-123.111944
30bc9afc-8e11-4605-83f5-2551b0ce8640,Portland Timbers at Vancouver Whitecaps,2016,10,23,13,0,Sports,Soccer,BC Place,819 Pacific Boulevard,V6B 4Y50,49.276666999999996,-123.111944
52fd7d72-cf2e-4b20-ba53-0754e65f96d6,New York Red Bulls at Vancouver Whitecaps,2017,3,2,19,0,Sports,Soccer,BC Place,820 Pacific Boulevard,V6B 4Y51,49.276666999999996,-123.111944
437b4dff-6ff9-4dab-9106-0b6ba4bd7edb,Philadelphia Union at Vancouver Whitecaps,2017,3,5,18,30,Sports,Soccer,BC Place,821 Pacific Boulevard,V6B 4Y52,49.276666999999996,-123.111944
887ad1a7-7d32-4976-9b7a-597d2517f906,Toronto FC at Vancouver Whitecaps,2017,3,18,13,0,Sports,Soccer,BC Place,822 Pacific Boulevard,V6B 4Y53,49.276666999999996,-123.111944
16720bbd-6f8e-4c76-99c4-d10b5575226f,Los Angeles Galaxy at Vancouver Whitecaps,2017,4,1,19,0,Sports,Soccer,BC Place,823 Pacific Boulevard,V6B 4Y54,49.276666999999996,-123.111944
c120cc7a-de38-4230-85a7-d315713d0fa9,Tigers UANL at Vancouver Whitecaps,2017,4,5,19,0,Sports,Soccer,BC Place,824 Pacific Boulevard,V6B 4Y55,49.276666999999996,-123.111944
b07dbf2e-1db3-431b-8899-f0de78a2d186,Seattle Sounder FC at Vancouver Whitecaps,2017,4,14,19,0,Sports,Soccer,BC Place,825 Pacific Boulevard,V6B 4Y56,49.276666999999996,-123.111944
8d1bf7e2-2cd9-4a3e-bec7-4822138e653d,Sporting Kansas City at Vancouver Whitecaps,2017,5,20,16,0,Sports,Soccer,BC Place,826 Pacific Boulevard,V6B 4Y57,49.276666999999996,-123.111944
1e2cc5ba-2eeb-45bb-9096-9031ca2bad32,Montreal Impact at Vancouver Whitecaps,2017,5,23,19,0,Sports,Soccer,BC Place,827 Pacific Boulevard,V6B 4Y58,49.276666999999996,-123.111944
c4f3fd6c-22d4-4e9e-988f-1569aebb8a92,D.C. United at Vancouver Whitecaps,2017,5,27,16,0,Sports,Soccer,BC Place,828 Pacific Boulevard,V6B 4Y59,49.276666999999996,-123.111944
ded3aea1-d817-4c45-ae5f-f4383d58c56c,Atlanta United FC at Vancouver Whitecaps,2017,6,3,14,30,Sports,Soccer,BC Place,829 Pacific Boulevard,V6B 4Y60,49.276666999999996,-123.111944
6bc40205-c0e0-4332-a584-61a6bb3eb2d9,FC Dallas at Vancouver Whitecaps,2017,6,17,19,0,Sports,Soccer,BC Place,830 Pacific Boulevard,V6B 4Y61,49.276666999999996,-123.111944
f994bfd6-a3be-4dd5-8029-fb98ff66ab81,New York City FC at Vancouver Whitecaps,2017,7,5,19,0,Sports,Soccer,BC Place,831 Pacific Boulevard,V6B 4Y62,49.276666999999996,-123.111944
4babb26f-5364-4b7b-90fb-7feb825675db,Portland Timbers at Vancouver Whitecaps,2017,7,23,15,30,Sports,Soccer,BC Place,832 Pacific Boulevard,V6B 4Y63,49.276666999999996,-123.111944
b8e891fc-ded4-4eee-8017-fd9bfdf69479,Houston Dynamo at Vancouver Whitecaps,2017,8,19,19,0,Sports,Soccer,BC Place,833 Pacific Boulevard,V6B 4Y64,49.276666999999996,-123.111944
