event_name,event_year,event_month,event_day,event_hour,event_minute,event_type,event_genre,event_venue_name,event_address,event_postal_code,event_latitude,event_longitude
Toronto FC at Vancouver Whitecaps,2015,3,7,15,0,Sports,Soccer,BC Place,777 Pacific Boulevard,V6B 4Y8,49.276667,-123.111944
Portland Timbers at Vancouver Whitecaps,2015,3,28,17,0,Sports,Soccer,BC Place,778 Pacific Boulevard,V6B 4Y9,49.276667,-123.111944
Los Angeles Galaxy at Vancouver Whitecaps,2015,4,4,19,0,Sports,Soccer,BC Place,779 Pacific Boulevard,V6B 4Y10,49.276667,-123.111944
Columbus Crew SC at Vancouver Whitecaps,2015,4,8,19,0,Sports,Soccer,BC Place,780 Pacific Boulevard,V6B 4Y11,49.276667,-123.111944
D.C. United at Vancouver Whitecaps,2015,4,25,19,30,Sports,Soccer,BC Place,781 Pacific Boulevard,V6B 4Y12,49.276667,-123.111944
Philadelphia Union at Vancouver Whitecaps,2015,5,9,16,0,Sports,Soccer,BC Place,782 Pacific Boulevard,V6B 4Y13,49.276667,-123.111944
Seattle Sounder FC at Vancouver Whitecaps,2015,5,16,16,0,Sports,Soccer,BC Place,783 Pacific Boulevard,V6B 4Y14,49.276667,-123.111944
Real Salt Lake at Vancouver Whitecaps,2015,5,30,15,0,Sports,Soccer,BC Place,784 Pacific Boulevard,V6B 4Y15,49.276667,-123.111944
Sporting Kansas City at Vancouver Whitecaps,2015,7,12,18,0,Sports,Soccer,BC Place,785 Pacific Boulevard,V6B 4Y16,49.276667,-123.111944
San Jose Earthquakes at Vancouver Whitecaps,2015,7,26,16,0,Sports,Soccer,BC Place,786 Pacific Boulevard,V6B 4Y17,49.276667,-123.111944
Seattle Sounder FC at Vancouver Whitecaps,2015,8,5,19,0,Sports,Soccer,BC Place,787 Pacific Boulevard,V6B 4Y18,49.276667,-123.111944
Real Salt Lake at Vancouver Whitecaps,2015,8,8,19,0,Sports,Soccer,BC Place,788 Pacific Boulevard,V6B 4Y19,49.276667,-123.111944
FC Dallas at Vancouver Whitecaps,2015,8,22,19,0,Sports,Soccer,BC Place,789 Pacific Boulevard,V6B 4Y20,49.276667,-123.111944
Montreal Impact at Vancouver Whitecaps,2015,8,26,19,0,Sports,Soccer,BC Place,790 Pacific Boulevard,V6B 4Y21,49.276667,-123.111944
Colorado Rapids at Vancouver Whitecaps,2015,9,9,19,0,Sports,Soccer,BC Place,791 Pacific Boulevard,V6B 4Y22,49.276667,-123.111944
CD Olimpia at Vancouver Whitecaps,2015,9,16,19,0,Sports,Soccer,BC Place,792 Pacific Boulevard,V6B 4Y23,49.276667,-123.111944
Seattle Sounder FC at Vancouver Whitecaps,2015,9,19,16,0,Sports,Soccer,BC Place,793 Pacific Boulevard,V6B 4Y24,49.276667,-123.111944
New York City FC at Vancouver Whitecaps,2015,9,26,19,0,Sports,Soccer,BC Place,794 Pacific Boulevard,V6B 4Y25,49.276667,-123.111944
FC Dallas at Vancouver Whitecaps,2015,10,7,19,0,Sports,Soccer,BC Place,795 Pacific Boulevard,V6B 4Y26,49.276667,-123.111944
Houston Dynamo at Vancouver Whitecaps,2015,10,25,16,0,Sports,Soccer,BC Place,796 Pacific Boulevard,V6B 4Y27,49.276667,-123.111944
Portland Timbers at Vancouver Whitecaps,2015,11,8,19,0,Sports,Soccer,BC Place,797 Pacific Boulevard,V6B 4Y28,49.276667,-123.111944
Montreal Impact at Vancouver Whitecaps,2016,3,6,14,30,Sports,Soccer,BC Place,798 Pacific Boulevard,V6B 4Y29,49.276667,-123.111944
Houston Dynamo at Vancouver Whitecaps,2016,3,26,19,0,Sports,Soccer,BC Place,799 Pacific Boulevard,V6B 4Y30,49.276667,-123.111944
Los Angeles Galaxy at Vancouver Whitecaps,2016,4,2,19,0,Sports,Soccer,BC Place,800 Pacific Boulevard,V6B 4Y31,49.276667,-123.111944
FC Dallas at Vancouver Whitecaps,2016,4,23,19,30,Sports,Soccer,BC Place,801 Pacific Boulevard,V6B 4Y32,49.276667,-123.111944
Sporting Kansas City at Vancouver Whitecaps,2016,4,27,19,30,Sports,Soccer,BC Place,802 Pacific Boulevard,V6B 4Y33,49.276667,-123.111944
Portland Timbers at Vancouver Whitecaps,2016,5,7,14,0,Sports,Soccer,BC Place,803 Pacific Boulevard,V6B 4Y34,49.276667,-123.111944
Chicago Fire FC at Vancouver Whitecaps,2016,5,11,19,0,Sports,Soccer,BC Place,804 Pacific Boulevard,V6B 4Y35,49.276667,-123.111944
Houston Dynamo at Vancouver Whitecaps,2016,5,28,15,0,Sports,Soccer,BC Place,805 Pacific Boulevard,V6B 4Y36,49.276667,-123.111944
Ottawa Fury FC at Vancouver Whitecaps,2016,6,8,19,0,Sports,Soccer,BC Place,806 Pacific Boulevard,V6B 4Y37,49.276667,-123.111944
New England Revolution at Vancouver Whitecaps,2016,6,18,16,0,Sports,Soccer,BC Place,807 Pacific Boulevard,V6B 4Y38,49.276667,-123.111944
Toronto FC at Vancouver Whitecaps,2016,6,29,19,30,Sports,Soccer,BC Place,808 Pacific Boulevard,V6B 4Y39,49.276667,-123.111944
Colorado Rapids at Vancouver Whitecaps,2016,7,9,19,0,Sports,Soccer,BC Place,809 Pacific Boulevard,V6B 4Y40,49.276667,-123.111944
Real Salt Lake at Vancouver Whitecaps,2016,7,13,19,30,Sports,Soccer,BC Place,810 Pacific Boulevard,V6B 4Y41,49.276667,-123.111944
Orlando City SC at Vancouver Whitecaps,2016,7,16,19,0,Sports,Soccer,BC Place,811 Pacific Boulevard,V6B 4Y42,49.276667,-123.111944
Crystal Palace FC,2016,7,19,19,0,Sports,Soccer,BC Place,812 Pacific Boulevard,V6B 4Y43,49.276667,-123.111944
San Jose Earthquakes at Vancouver Whitecaps,2016,8,12,20,0,Sports,Soccer,BC Place,813 Pacific Boulevard,V6B 4Y44,49.276667,-123.111944
Sporting Kansas City at Vancouver Whitecaps,2016,8,23,19,0,Sports,Soccer,BC Place,814 Pacific Boulevard,V6B 4Y45,49.276667,-123.111944
New York Red Bulls at Vancouver Whitecaps,2016,9,3,16,0,Sports,Soccer,BC Place,815 Pacific Boulevard,V6B 4Y46,49.276667,-123.111944
Colorado Rapids at Vancouver Whitecaps,2016,9,24,16,0,Sports,Soccer,BC Place,816 Pacific Boulevard,V6B 4Y47,49.276667,-123.111944
Central FC at Vancouver Whitecaps,2016,9,28,19,0,Sports,Soccer,BC Place,817 Pacific Boulevard,V6B 4Y48,49.276667,-123.111944
Seattle Sounder FC at Vancouver Whitecaps,2016,10,2,17,0,Sports,Soccer,BC Place,818 Pacific Boulevard,V6B 4Y49,49.276667,-123.111944
Portland Timbers at Vancouver Whitecaps,2016,10,23,13,0,Sports,Soccer,BC Place,819 Pacific Boulevard,V6B 4Y50,49.276667,-123.111944
New York Red Bulls at Vancouver Whitecaps,2017,3,2,19,0,Sports,Soccer,BC Place,820 Pacific Boulevard,V6B 4Y51,49.276667,-123.111944
Philadelphia Union at Vancouver Whitecaps,2017,3,5,18,30,Sports,Soccer,BC Place,821 Pacific Boulevard,V6B 4Y52,49.276667,-123.111944
Toronto FC at Vancouver Whitecaps,2017,3,18,13,0,Sports,Soccer,BC Place,822 Pacific Boulevard,V6B 4Y53,49.276667,-123.111944
Los Angeles Galaxy at Vancouver Whitecaps,2017,4,1,19,0,Sports,Soccer,BC Place,823 Pacific Boulevard,V6B 4Y54,49.276667,-123.111944
Tigers UANL at Vancouver Whitecaps,2017,4,5,19,0,Sports,Soccer,BC Place,824 Pacific Boulevard,V6B 4Y55,49.276667,-123.111944
Seattle Sounder FC at Vancouver Whitecaps,2017,4,14,19,0,Sports,Soccer,BC Place,825 Pacific Boulevard,V6B 4Y56,49.276667,-123.111944
Sporting Kansas City at Vancouver Whitecaps,2017,5,20,16,0,Sports,Soccer,BC Place,826 Pacific Boulevard,V6B 4Y57,49.276667,-123.111944
Montreal Impact at Vancouver Whitecaps,2017,5,23,19,0,Sports,Soccer,BC Place,827 Pacific Boulevard,V6B 4Y58,49.276667,-123.111944
D.C. United at Vancouver Whitecaps,2017,5,27,16,0,Sports,Soccer,BC Place,828 Pacific Boulevard,V6B 4Y59,49.276667,-123.111944
Atlanta United FC at Vancouver Whitecaps,2017,6,3,14,30,Sports,Soccer,BC Place,829 Pacific Boulevard,V6B 4Y60,49.276667,-123.111944
FC Dallas at Vancouver Whitecaps,2017,6,17,19,0,Sports,Soccer,BC Place,830 Pacific Boulevard,V6B 4Y61,49.276667,-123.111944
New York City FC at Vancouver Whitecaps,2017,7,5,19,0,Sports,Soccer,BC Place,831 Pacific Boulevard,V6B 4Y62,49.276667,-123.111944
Portland Timbers at Vancouver Whitecaps,2017,7,23,15,30,Sports,Soccer,BC Place,832 Pacific Boulevard,V6B 4Y63,49.276667,-123.111944
Houston Dynamo at Vancouver Whitecaps,2017,8,19,19,0,Sports,Soccer,BC Place,833 Pacific Boulevard,V6B 4Y64,49.276667,-123.111944
Seattle Sounder FC at Vancouver Whitecaps,2017,8,23,19,0,Sports,Soccer,BC Place,834 Pacific Boulevard,V6B 4Y65,49.276667,-123.111944
Real Salt Lake at Vancouver Whitecaps,2017,9,9,19,0,Sports,Soccer,BC Place,835 Pacific Boulevard,V6B 4Y66,49.276667,-123.111944
Minnesota United FC at Vancouver Whitecaps,2017,9,13,19,0,Sports,Soccer,BC Place,836 Pacific Boulevard,V6B 4Y67,49.276667,-123.111944
Columbus Crew SC at Vancouver Whitecaps,2017,9,16,16,0,Sports,Soccer,BC Place,837 Pacific Boulevard,V6B 4Y68,49.276667,-123.111944
Colorado Rapids at Vancouver Whitecaps,2017,9,23,19,0,Sports,Soccer,BC Place,838 Pacific Boulevard,V6B 4Y69,49.276667,-123.111944
San Jose Earthquakes at Vancouver Whitecaps,2017,10,25,19,30,Sports,Soccer,BC Place,839 Pacific Boulevard,V6B 4Y70,49.276667,-123.111944
Seattle Sounder FC at Vancouver Whitecaps,2017,10,29,17,30,Sports,Soccer,BC Place,840 Pacific Boulevard,V6B 4Y71,49.276667,-123.111944
Montreal Impact at Vancouver Whitecaps,2018,3,4,15,0,Sports,Soccer,BC Place,841 Pacific Boulevard,V6B 4Y72,49.276667,-123.111944
Los Angeles Galaxy at Vancouver Whitecaps,2018,3,24,19,0,Sports,Soccer,BC Place,842 Pacific Boulevard,V6B 4Y73,49.276667,-123.111944
Los Angeles Football Club at Vancouver Whitecaps,2018,4,13,19,0,Sports,Soccer,BC Place,843 Pacific Boulevard,V6B 4Y74,49.276667,-123.111944
Real Salt Lake at Vancouver Whitecaps,2018,4,27,19,30,Sports,Soccer,BC Place,844 Pacific Boulevard,V6B 4Y75,49.276667,-123.111944
Houston Dynamo at Vancouver Whitecaps,2018,5,11,19,30,Sports,Soccer,BC Place,845 Pacific Boulevard,V6B 4Y76,49.276667,-123.111944
San Jose Earthquakes at Vancouver Whitecaps,2018,5,16,19,30,Sports,Soccer,BC Place,846 Pacific Boulevard,V6B 4Y77,49.276667,-123.111944
New England Revolution at Vancouver Whitecaps,2018,5,26,14,30,Sports,Soccer,BC Place,847 Pacific Boulevard,V6B 4Y78,49.276667,-123.111944
Orlando City SC at Vancouver Whitecaps,2018,6,9,16,0,Sports,Soccer,BC Place,848 Pacific Boulevard,V6B 4Y79,49.276667,-123.111944
Colorado Rapids at Vancouver Whitecaps,2018,7,1,16,0,Sports,Soccer,BC Place,849 Pacific Boulevard,V6B 4Y80,49.276667,-123.111944
Chicago Fire FC at Vancouver Whitecaps,2018,7,7,19,30,Sports,Soccer,BC Place,850 Pacific Boulevard,V6B 4Y81,49.276667,-123.111944
Montreal Impact at Vancouver Whitecaps,2018,7,25,19,0,Sports,Soccer,BC Place,851 Pacific Boulevard,V6B 4Y82,49.276667,-123.111944
Minnesota United FC at Vancouver Whitecaps,2018,7,28,19,0,Sports,Soccer,BC Place,852 Pacific Boulevard,V6B 4Y83,49.276667,-123.111944
Toronto FC at Vancouver Whitecaps,2018,8,8,19,0,Sports,Soccer,BC Place,853 Pacific Boulevard,V6B 4Y84,49.276667,-123.111944
New York Red Bulls at Vancouver Whitecaps,2018,8,18,16,0,Sports,Soccer,BC Place,854 Pacific Boulevard,V6B 4Y85,49.276667,-123.111944
San Jose Earthquakes at Vancouver Whitecaps,2018,9,1,19,0,Sports,Soccer,BC Place,855 Pacific Boulevard,V6B 4Y86,49.276667,-123.111944
Seattle Sounder FC at Vancouver Whitecaps,2018,9,15,19,0,Sports,Soccer,BC Place,856 Pacific Boulevard,V6B 4Y87,49.276667,-123.111944
FC Dallas at Vancouver Whitecaps,2018,9,23,16,0,Sports,Soccer,BC Place,857 Pacific Boulevard,V6B 4Y88,49.276667,-123.111944
Sporting Kansas City at Vancouver Whitecaps,2018,10,17,19,0,Sports,Soccer,BC Place,858 Pacific Boulevard,V6B 4Y89,49.276667,-123.111944
Portland Timbers at Vancouver Whitecaps,2018,10,28,13,30,Sports,Soccer,BC Place,859 Pacific Boulevard,V6B 4Y90,49.276667,-123.111944
Minnesota United FC at Vancouver Whitecaps,2019,3,2,15,0,Sports,Soccer,BC Place,860 Pacific Boulevard,V6B 4Y91,49.276667,-123.111944
Seattle Sounder FC at Vancouver Whitecaps,2019,3,30,19,0,Sports,Soccer,BC Place,861 Pacific Boulevard,V6B 4Y92,49.276667,-123.111944
Los Angeles Galaxy at Vancouver Whitecaps,2019,4,5,19,0,Sports,Soccer,BC Place,862 Pacific Boulevard,V6B 4Y93,49.276667,-123.111944
Los Angeles Football Club at Vancouver Whitecaps,2019,4,17,19,0,Sports,Soccer,BC Place,863 Pacific Boulevard,V6B 4Y94,49.276667,-123.111944
Philadelphia Union at Vancouver Whitecaps,2019,4,27,19,0,Sports,Soccer,BC Place,864 Pacific Boulevard,V6B 4Y95,49.276667,-123.111944
Portland Timbers at Vancouver Whitecaps,2019,5,10,19,0,Sports,Soccer,BC Place,865 Pacific Boulevard,V6B 4Y96,49.276667,-123.111944
